GameID,Team,Date,HT,AT,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,ORtg,DRtg
20100115NOHDET,DET,15-01-10,DET,NOH,36,80,0.45,7,17,0.411764706,31,40,0.775,10,36,46,27,5,3,15,20,110,0.564,0.494,0.213,0.5,23.8,94.7,57.5,75,5,5.3,13.3,110.3,104.3
20100115MILGSW,MIL,15-01-10,GSW,MIL,38,83,0.457831325,6,21,0.285714286,31,39,0.794871795,11,40,51,25,9,6,14,20,113,0.564,0.494,0.253,0.47,23.9,85.1,54.8,65.8,8.8,9,12.3,110.9,102.1
20100115MILGSW,GSW,15-01-10,GSW,MIL,40,85,0.470588235,5,18,0.277777778,19,27,0.703703704,7,35,42,20,9,5,14,28,104,0.537,0.5,0.212,0.318,14.9,76.1,45.2,50,8.8,8.1,12.6,102.1,110.9
20100115MIAHOU,MIA,15-01-10,HOU,MIA,45,84,0.535714286,6,14,0.428571429,19,23,0.826086957,9,28,37,24,8,10,8,20,115,0.611,0.571,0.167,0.274,24.3,77.8,50.7,53.3,8.8,18.2,7.8,125.8,116
20100115MIAHOU,HOU,15-01-10,HOU,MIA,37,76,0.486842105,11,21,0.523809524,21,25,0.84,8,28,36,20,6,4,15,21,106,0.609,0.559,0.276,0.329,22.2,75.7,49.3,54.1,6.6,5.7,14.7,116,125.8
20100115LACLAL,LAC,15-01-10,LAL,LAC,31,77,0.402597403,5,20,0.25,19,25,0.76,7,31,38,25,3,6,18,25,86,0.489,0.435,0.26,0.325,17.5,81.6,48.7,80.6,3.1,10,17,88.8,130.1
20100115LACLAL,LAL,15-01-10,LAL,LAC,41,82,0.5,10,22,0.454545455,34,41,0.829268293,7,33,40,28,7,7,7,18,126,0.63,0.561,0.268,0.5,18.4,82.5,51.3,68.3,7.2,12.3,6.5,130.1,88.8
20100115MINMEM,MIN,15-01-10,MEM,MIN,43,90,0.477777778,5,12,0.416666667,19,24,0.791666667,13,24,37,20,4,3,12,19,110,0.547,0.506,0.133,0.267,27.7,68.6,45.1,46.5,4.1,4.2,10.7,113.4,139.2
20100115MINMEM,MEM,15-01-10,MEM,MIN,55,94,0.585106383,11,23,0.47826087,14,16,0.875,11,34,45,33,10,6,9,17,135,0.668,0.644,0.245,0.17,31.4,72.3,54.9,60,10.3,7.7,8.2,139.2,113.4
20100115INDNJN,IND,15-01-10,NJN,IND,43,81,0.530864198,13,23,0.565217391,22,26,0.846153846,4,38,42,34,6,7,14,27,121,0.654,0.611,0.284,0.321,11.4,82.6,51.9,79.1,6.1,10.4,13.2,123.1,106.8
20100115INDNJN,NJN,15-01-10,NJN,IND,34,81,0.419753086,5,14,0.357142857,32,39,0.820512821,8,31,39,21,7,3,8,21,105,0.535,0.451,0.173,0.481,17.4,88.6,48.1,61.8,7.1,5.2,7.5,106.8,123.1
20100115TORNYK,TOR,15-01-10,NYK,TOR,39,73,0.534246575,12,22,0.545454545,22,31,0.709677419,3,38,41,17,4,2,12,18,112,0.646,0.616,0.301,0.425,8.6,79.2,49.4,43.6,4.2,3.5,12.2,117.5,109.1
20100115TORNYK,NYK,15-01-10,NYK,TOR,38,86,0.441860465,11,29,0.379310345,17,20,0.85,10,32,42,20,5,2,13,20,104,0.549,0.506,0.337,0.233,20.8,91.4,50.6,52.6,5.2,3.9,12.1,109.1,117.5
20100115SACPHI,SAC,15-01-10,PHI,SAC,26,70,0.371428571,6,15,0.4,28,33,0.848484848,10,31,41,17,5,5,19,21,86,0.509,0.414,0.214,0.471,25.6,75.6,51.3,65.4,5.5,7.1,18.4,94.6,107.8
20100115SACPHI,PHI,15-01-10,PHI,SAC,37,82,0.451219512,4,12,0.333333333,20,26,0.769230769,10,29,39,21,12,10,11,22,98,0.524,0.476,0.146,0.317,24.4,74.4,48.8,56.8,13.2,18.2,10.5,107.8,94.6
20100115ORLPOR,ORL,15-01-10,POR,ORL,35,73,0.479452055,7,30,0.233333333,10,20,0.5,6,32,38,17,3,5,12,12,87,0.532,0.527,0.411,0.274,15,80,47.5,48.6,3.4,7.6,12.8,100,117.2
20100115ORLPOR,POR,15-01-10,POR,ORL,41,87,0.471264368,11,21,0.523809524,9,10,0.9,8,34,42,23,6,0,6,18,102,0.558,0.534,0.241,0.115,20,85,52.5,56.1,6.9,0,6.2,117.2,100
20100116PHOCHA,PHO,16-01-10,CHA,PHO,35,84,0.416666667,8,23,0.347826087,21,25,0.84,10,28,38,20,1,14,15,19,99,0.521,0.464,0.274,0.298,22.7,68.3,44.7,57.1,1,18.4,13.6,102.8,129.8
20100116PHOCHA,CHA,16-01-10,CHA,PHO,46,91,0.505494505,10,15,0.666666667,23,27,0.851851852,13,34,47,28,12,5,9,20,125,0.608,0.56,0.165,0.297,31.7,77.3,55.3,60.9,12.5,8.2,8,129.8,102.8
20100116NYKDET,NYK,16-01-10,DET,NYK,32,81,0.395061728,7,17,0.411764706,19,21,0.904761905,12,27,39,23,8,3,18,25,90,0.499,0.438,0.21,0.259,27.9,57.4,43.3,71.9,8.8,4.3,16.6,98.7,103.1
20100116NYKDET,DET,16-01-10,DET,NYK,32,82,0.390243902,4,13,0.307692308,26,36,0.722222222,20,31,51,16,8,8,16,25,94,0.48,0.415,0.159,0.439,42.6,72.1,56.7,50,8.8,12.5,14.1,103.1,98.7
20100116NOHIND,NOH,16-01-10,IND,NOH,39,91,0.428571429,4,15,0.266666667,19,23,0.826086957,11,38,49,18,7,5,7,20,101,0.499,0.451,0.165,0.253,25.6,88.4,57,46.2,7.3,8.5,6.5,104.7,99.5
20100116NOHIND,IND,16-01-10,IND,NOH,38,88,0.431818182,6,29,0.206896552,14,18,0.777777778,5,32,37,17,3,7,11,18,96,0.5,0.466,0.33,0.205,11.6,74.4,43,44.7,3.1,9.2,10.3,99.5,104.7
20100116CLELAC,CLE,16-01-10,LAC,CLE,38,79,0.481012658,7,23,0.304347826,19,24,0.791666667,14,18,32,19,12,3,12,19,102,0.569,0.525,0.291,0.304,37.8,81.8,54.2,50,14.5,7,11.8,123.1,121.9
20100116CLELAC,LAC,16-01-10,LAC,CLE,37,62,0.596774194,10,19,0.526315789,17,24,0.708333333,4,23,27,22,7,5,15,17,101,0.696,0.677,0.306,0.387,18.2,62.2,45.8,59.5,8.4,8.9,17.1,121.9,123.1
20100116SASMEM,SAS,16-01-10,MEM,SAS,36,87,0.413793103,7,21,0.333333333,7,12,0.583333333,12,32,44,14,6,9,16,23,86,0.466,0.454,0.241,0.138,26.1,65.3,46.3,38.9,6.5,12.2,14.8,93,99.5
20100116SASMEM,MEM,16-01-10,MEM,SAS,36,83,0.43373494,3,9,0.333333333,17,27,0.62962963,17,34,51,14,8,9,15,15,92,0.485,0.452,0.108,0.325,34.7,73.9,53.7,38.9,8.7,13.6,13.7,99.5,93
20100116MIAOKC,MIA,16-01-10,OKC,MIA,34,82,0.414634146,1,8,0.125,11,20,0.55,12,21,33,17,15,7,14,19,80,0.441,0.421,0.098,0.244,25,70,42.3,50,16.5,11.1,13.4,87.8,107.5
20100116MIAOKC,OKC,16-01-10,OKC,MIA,38,75,0.506666667,6,12,0.5,16,20,0.8,9,36,45,23,7,3,20,16,98,0.585,0.547,0.16,0.267,30,75,57.7,60.5,7.7,4.1,19.3,107.5,87.8
20100116MILUTA,MIL,16-01-10,UTA,MIL,35,81,0.432098765,11,24,0.458333333,14,21,0.666666667,8,32,40,24,13,3,18,21,95,0.526,0.5,0.296,0.259,17.8,84.2,48.2,68.6,12.9,4.8,16.6,94.4,111.3
20100116MILUTA,UTA,16-01-10,UTA,MIL,44,78,0.564102564,8,16,0.5,16,26,0.615384615,6,37,43,28,13,3,20,17,112,0.626,0.615,0.205,0.333,15.8,82.2,51.8,63.6,12.9,5.3,18.3,111.3,94.4
20100116SACWAS,SAC,16-01-10,WAS,SAC,31,83,0.373493976,7,23,0.304347826,17,19,0.894736842,12,29,41,20,5,8,15,23,86,0.471,0.416,0.277,0.229,29.3,74.4,51.3,64.5,5.6,11.9,14.1,97.2,108.5
20100116SACWAS,WAS,16-01-10,WAS,SAC,38,80,0.475,3,13,0.230769231,17,23,0.739130435,10,29,39,19,6,8,10,23,96,0.533,0.494,0.163,0.288,25.6,70.7,48.8,50,6.8,13.3,10,108.5,97.2
20100117UTADEN,UTA,17-01-10,DEN,UTA,42,81,0.518518519,8,18,0.444444444,20,27,0.740740741,7,32,39,30,7,2,20,29,112,0.603,0.568,0.222,0.333,17.9,80,49.4,71.4,6.8,3.8,17.7,108.9,115.7
20100117UTADEN,DEN,17-01-10,DEN,UTA,36,74,0.486486486,6,21,0.285714286,41,49,0.836734694,8,32,40,16,14,4,16,23,119,0.623,0.527,0.284,0.662,20,82.1,50.6,44.4,13.6,6.3,14.3,115.7,108.9
20100117DALTOR,DAL,17-01-10,TOR,DAL,36,80,0.45,5,15,0.333333333,11,16,0.6875,8,33,41,23,5,4,10,20,88,0.506,0.481,0.188,0.2,19.5,73.3,47.7,63.9,5.6,5.4,10.3,98.9,123.7
20100117DALTOR,TOR,17-01-10,TOR,DAL,44,90,0.488888889,7,16,0.4375,15,22,0.681818182,12,33,45,28,6,6,5,18,110,0.552,0.528,0.178,0.244,26.7,80.5,52.3,63.6,6.7,9.2,4.8,123.7,98.9
